title,box_off_num
용서는 없다,1688646.8002470904
아빠가 여자를 좋아해,1836809.6637686768
하모니,1807036.6938772362
의형제,2377610.3908914
평행 이론,1391980.6330144089
회오리 바람,132326.45509192126
경계도시 2,90477.40381452754
이웃집 남자,90528.90152344582
아마존의 눈물 극장판,56658.30507599989
반가운 살인자,560024.4426633997
집 나온 남자들,480275.77966893057
베스트셀러,916818.1574628289
작은 연못,1021245.6501618203
경,131287.1146113131
대한민국 1%,923385.7657513707
포화 속으로,2444441.1704297154
나쁜 놈이 더 잘 잔다,273003.7072731856
맨발의 꿈,757296.812552732
요술,789013.7254130581
마법천자문: 대마왕의 부활을 막아라,870992.8801106055
인플루언스,130354.29307290172
미스터 좀비,342901.1014947147
김복남 살인사건의 전말,549276.6871435826
엄지아빠,429653.31006341794
탈주,129928.00915251767
해결사,1120202.0760677976
할,97496.54507989873
된장,1386499.7188227784
조금만 더 가까이,157186.53510841596
우리 만난 적 있나요,260605.36732872273
쩨쩨한 로맨스,1218585.3830214264
용서,140950.3150664909
브라보! 재즈 라이프,286470.971703673
카페 느와르,1144693.7600251748
오래된 인력거,111382.3916814151
창피해,402774.143667509
"양 한 마리, 양 두 마리",240432.42020855602
하얀 정글,110895.79214172471
다슬이,101252.82680710041
REC 알이씨,46410.954105059085
량강도 아이들,212656.8985025884
티끌모아 로맨스,282730.5816263081
더 킥,405960.8047115955
커플즈,561188.0397297513
오늘,1089836.9621635594
완득이,1432405.265821213
은어,99867.23819427816
고래를 찾는 자전거,102653.47635569515
도가니,1712699.1553363681
겨울냄새,108949.27157962184
환타스틱 모던가야그머,167814.73902173646
블라인드,390685.4990319993
링크,124892.28986960917
퀵,789408.6255791911
모비딕,1447122.8933178077
굿바이 보이,314891.2651214167
종로의 기적,260811.62902504977
회초리,1173534.2870507836
체포왕,1441427.343232353
세상에서 가장 아름다운 이별,2671898.0952165537
나는 아빠다,1435446.4611752792
수상한 고객들,2899602.442825988
수상한 이웃들,377173.53625514475
돌아오는 길,124902.88686273753
우리 이웃의 범죄,529758.6606316845
엄마는 창녀다,44525.37439785301
위험한 상견례,1401237.453724673
간증,507528.543166534
"사랑한다, 사랑하지 않는다",1173639.136006784
"혜화, 동",240391.97192025633
글러브,2316767.0197943915
가문의 귀환,1240227.5353139455
잔혹한 앵글의 로망스,121055.02634085334
나의 PS 파트너,1470511.5630557057
롤플레이,298818.438782503
마티나,58665.329757786116
음치 클리닉,1966454.194942488
남영동1985,199852.83707851957
돈 크라이 마미,244965.06028439334
반드시 크게 들을 것 2 : Wild Days,54441.071838989315
범죄소년,207470.06087701395
내가 살인범이다,2405088.2406577147
터치,95827.6216747475
늑대소년,3091450.4108192134
맥코리아,160894.93895466888
용의자X,2165450.606648402
하나안,86156.56666984907
투 올드 힙합 키드,39923.90073037615
한경직,120055.86693835464
미운오리새끼,565018.8303242966
황제펭귄 펭이와 솜이,97895.15447808783
두 개의 문,78452.7050587961
I AM,795874.2371042757
후궁 : 제왕의 첩,1925285.6933572614
"안녕, 하세요!",371496.27520998096
천국의 아이들,201711.7409650122
할머니는 일학년,82734.65961071625
두레소리,122520.72586622767
"봄, 눈",747339.2191942297
은교,1693319.2720604213
간기남,1767136.7151908558
시체가 돌아왔다,1690789.9657238945
말하는 건축가,112538.26236619681
밀월도 가는 길,555865.1899400717
파파,1105107.9293022135
점박이:한반도의 공룡3D,602867.0615944174
댄싱퀸,3030445.658407524
누구의 딸도 아닌 해원,38364.303904201806
신세계,3118680.70771052
굿바이 홈런,35284.754131939146
불륜의 시대,43903.57483096977
남쪽으로 튀어,1837105.4233820457
좋은 친구들,1749153.4483491345
지슬 - 끝나지 않은 세월 2,185039.85567666386
누구나 제 명에 죽고 싶다,71848.3945897106
사이코메트리,836319.7297104773
환상속의 그대,192425.58900273414
몽타주,1059806.6690539168
"힘내세요, 병헌씨",218919.2267009463
꼭두각시,213046.2000485253
홀리,108209.19110723467
마이 라띠마,1593923.199125053
더 테러 라이브,934396.2499257326
슈퍼피쉬 - 끝없는 여정,96348.0252892884
콩가네,165283.88530153665
허풍,103766.2177762362
젊은 엄마,21100.582085078455
노라노,77657.16758200512
노브레싱,392825.6283850281
말하는 건축 시티:홀,162361.57881384238
댄서김의 은밀한 교수법,40700.31741248311
소원,1349985.5149825555
고양이 소녀,38676.190129237024
롤플레이 2 : 동침,45406.39992034774
동창생,2700797.7404246186
용의자,4218496.957567094
미녀전쟁,184415.8646982488
캐치미,1194779.050551715
그 강아지 그 고양이,1092666.4567757854
화려한 외출,116363.79543929765
오하이오 삿포로,103870.37177278382
마이 리틀 히어로,2473827.8411577265
박수건달,3432739.5376229747
배꼽,169460.98282619126
나가요 미스콜,63447.53273861125
우아한 거짓말,599641.7124866149
미스터 컴퍼니,38090.73436523482
우리별 일호와 얼룩소,146319.94066406126
찌라시: 위험한 소문,2230361.5192445396
조선미녀삼총사,1993505.4746953577
만찬,689712.3798094958
한 번도 안 해본 여자,94013.18089944743
살인자,98722.454799327
  이것이 우리의 끝이다,159347.5117338016
그댄 나의 뱀파이어,521875.0736422658
황제를 위하여,839119.1670819222
레디액션! 폭력영화,285580.66845204425
스퀴시랜드,116652.77877433265
우는 남자,1911232.75604055
하이힐,2512985.9167020796
도희야,311637.35359993053
표적,1996175.0679361147
10분,724463.281783884
메이크 유어 무브,1065926.3412683108
카토 프로젝트,106832.25315142097
녀녀녀,45986.83213559385
방황하는 칼날,2168131.0029242127
바리새인,35643.678881295375
욕망의 독: 중독,61190.40701816031
설계,59835.940143294174
레쓰링,271987.3466324249
원 컷 - 어느 친절한 살인자의 기록,146415.23960267077
픽업 아티스트,145343.26165364694
옹녀뎐,29583.438240828975
왓니껴,612177.59207312
족구왕,189699.4368015674
내 연애의 기억,78451.52764315243
바세코의 아이들,106712.96624012158
명량,4066541.074443489
군도: 민란의 시대,4205060.7449867325
산타바바라,122191.27212044754
나는 야한 여자가 좋다,22992.292656735837
숙희,29381.983770467024
더 테너 리리코 스핀토,1247891.9948243685
기술자들,2221169.4652211214
신화 라이브 3D 더 레전드 컨티뉴스,380098.330462851
악사들,195484.26831981144
울언니,74422.89673318909
정사: 위험한 성적유희,105726.09569054986
레디액션 청춘,1564684.2804800216
"제자, 옥한흠",147984.9551431566
환상,25294.06325755572
위층여자,31747.983135955245
가자! 장미여관으로 3 - 방황,80186.58224260897
나는 야한 여자가 좋다 3,22992.292656735837
스물,1323720.7759349653
그라운드의 이방인,248325.19202637443
살인의뢰,1072997.8558441694
살인캠프,56170.134547706824
헬머니,1458162.4179508977
조류인간,222901.54563152324
최강전사 미니특공대 : 새로운 악당의 습격,89594.32091818313
생각보다 맑은,95627.86067253278
고양이 장례식,237937.70778286204
설해,437364.8239308819
나의 절친 악당들,810737.5462820923
연평해전,2470238.45457284
극비수사,2183708.922186221
성난 화가,278556.41509351716
은밀한 유혹,1860018.2348390452
혜경궁 홍씨,1339884.7187041785
무뢰한,874827.557906556
간신,2629332.448767687
연애의 맛,472997.40977490996
잡식가족의 딜레마,81438.38296931838
플랑크 상수,31497.012924778857
장수상회,1852627.6555273104
파울볼,71488.32473661951
춘희막이,42554.286052411146
덫: 치명적인 유혹,129759.07567687372
션샤인 러브,205303.9769432515
사도,2576393.5044960147
돼지 같은 여자,255963.9786006672
사랑이 이긴다,90671.92398471212
슈퍼레이서 엔지,558884.0649308999
제 7기사단,498716.1601044307
고백,82022.32259619173
미쓰 와이프,1698196.7543611845
위로공단,80453.02899930136
베테랑,3364127.7717216704
악인은 살아 있다,196216.06958383706
쓰리 썸머 나잇,786605.8791892091
마돈나,316884.81162295083
"나의 아들, 나의 어머니",383135.5137836475
슬픈남자,230322.53849632342
타이밍,145962.24853548393
타투,208731.29083134196
어떤이의 꿈,54481.361753232275
해에게서 소년에게,113914.6393871228
울보 권투부,69031.80589305326
어떤살인,406392.0678807084
말하지 못한 비밀,84914.67282678685
조선안방 스캔들-칠거지악 2,30242.299082074616
